norm_path	hits	max_list_len
definition_snapshot._HubIslands[].Definition.Layout.ChunkInformationByPosition.(1, -1, 0).TileVoidFlags_L	2	129
definition_snapshot._HubIslands[].Definition.Layout.ChunkInformationByPosition.(1, 0, 0).TileBuildableFlags_L	2	129
definition_snapshot._HubIslands[].Definition.Layout.ChunkInformationByPosition.(1, 0, 0).TileNotchFlags_L	2	129
definition_snapshot._HubIslands[].Definition.Layout.ChunkInformationByPosition.(1, 0, 0).TileVoidFlags_L	2	129
definition_snapshot._HubIslands[].Definition.Layout.ChunkInformationByPosition.(1, 1, 0).TileBuildableFlags_L	2	129
definition_snapshot._HubIslands[].Definition.Layout.ChunkInformationByPosition.(1, 1, 0).TileNotchFlags_L	2	129
definition_snapshot._HubIslands[].Definition.Layout.ChunkInformationByPosition.(1, 1, 0).TileVoidFlags_L	2	129
simulation_parameters.OnSimulationCreated.Listeners[].Target.ISimulator.Simulations	2	129
simulation_parameters.OnSimulationCreated.Listeners[].Target.Systems	2	129
simulation_parameters.TrainsSimulation.TrainSimulationCoordinators[].BlockedCoordinates	2	129
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Method.Module.Assembly.DefinedTypes	48	106
definition_snapshot.OnSimulationCreated.Listeners[].Method.Module.Assembly.DefinedTypes	2	106
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Target.TileBasedSystems	48	101
simulation_parameters.ISimulationSystem.OnSimulationCreated.Listeners[].Target.TileBasedSystems	48	101
definition_snapshot.OnSimulationCreated.Listeners[].Target.TileBasedSystems	2	101
simulation_parameters.OnSimulationCreated.Listeners[].Target.TileBasedSystems	2	101
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Method.Module.Assembly.ExportedTypes	48	89
definition_snapshot.OnSimulationCreated.Listeners[].Method.Module.Assembly.ExportedTypes	2	89
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Method.ReflectedTypeInternal.DeclaredMembers	48	82
definition_snapshot.OnSimulationCreated.Listeners[].Method.ReflectedTypeInternal.DeclaredMembers	2	82
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Target.ChunkBasedSystems	48	77
simulation_parameters.ISimulationSystem.OnSimulationCreated.Listeners[].Target.ChunkBasedSystems	48	77
definition_snapshot.OnSimulationCreated.Listeners[].Target.ChunkBasedSystems	2	77
simulation_parameters.OnSimulationCreated.Listeners[].Target.ChunkBasedSystems	2	77
definition_snapshot.Interlock.ResearchUnlockManager.CostManager.PointStorage.OnChanged.Listeners	36	67
definition_snapshot.Interlock.ResearchUnlockManager.Mode.Buildings.All	36	67
definition_snapshot.Interlock.ResearchUnlockManager.Mode.Buildings._All	36	67
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager._CachedUnlockedBuildingGroupIds	36	67
definition_snapshot.Interlock.ResearchUnlockManager.Mode.Islands.AllDefinitionGroups	36	64
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager._CachedUnlockedIslandGroupIds	36	64
definition_snapshot.Logger.Info.LogAction.Method.ReflectedTypeInternal.DeclaredMembers	8	63
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Target.TileBasedSystems[].ExtractorPositions	96	58
definition_snapshot.ExtractorPositions	4	58
definition_snapshot.OnSimulationCreated.Listeners[].Target.TileBasedSystems[].ExtractorPositions	4	58
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Method.ReflectedTypeInternal.DeclaredMethods	48	54
definition_snapshot.ConnectableSimulations[].Simulation.DemandComparison.Method.ReflectedTypeInternal.DeclaredMembers	2	54
definition_snapshot.OnSimulationCreated.Listeners[].Method.ReflectedTypeInternal.DeclaredMethods	2	54
definition_snapshot.Logger.Info.LogAction.Method.ReflectedTypeInternal.DeclaredMethods	8	53
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.Progression.SideUpgrades	36	51
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.Progression._SideUpgrades	36	51
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Target.Systems[].ConnectableSimulations	94	47
definition_snapshot.ConnectableSimulations	12	47
simulation_parameters.ConnectableSimulations	12	47
definition_snapshot.OnSimulationCreated.Listeners[].Target.Systems[].ConnectableSimulations	4	47
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Target.SimulationGraph.Clusters	48	44
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Target.SimulationGraph.Game.Core.Map.Simulation.Clustering.ISimulationGraph.Clusters	48	44
definition_snapshot.OnSimulationCreated.Listeners[].Target.SimulationGraph.Clusters	2	44
definition_snapshot.OnSimulationCreated.Listeners[].Target.SimulationGraph.Game.Core.Map.Simulation.Clustering.ISimulationGraph.Clusters	2	44
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.Progression.SideQuestGroups	36	41
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.Progression._SideQuestGroups	36	41
definition_snapshot.ConnectableSimulations[].Simulation.DemandComparison.Method.ReturnType.DeclaredMembers	2	38
definition_snapshot.ConnectableSimulations[].Simulation.DemandComparison.Method.ReturnType.DeclaredMethods	2	35
